Organismo,Periodo,PlanDeCuenta,TotalPresupuesto,Aumento,Disminucion,TotalGastado,CantidadEmpleados,CantidadCargos
9,2021,41,2929000.0,0.0,0.0,2722978.57,0.0,0.0
9,2021,42,637500.0,265000.0,0.0,900805.4,0.0,0.0
9,2021,43,1100000.0,300000.0,0.0,1375191.44,0.0,0.0
9,2021,45,180000.0,0.0,0.0,68542.23,0.0,0.0
9,2021,47,300000.0,0.0,0.0,198174.05,0.0,0.0
9,2021,48,845000.0,250000.0,0.0,1079742.74,0.0,0.0
9,2021,51,400000.0,0.0,0.0,227292.94,0.0,0.0
9,2021,52,600000.0,100000.0,0.0,729130.0,0.0,0.0
9,2021,54,350000.0,0.0,0.0,300000.0,0.0,0.0
9,2021,73,150000.0,0.0,0.0,0.0,0.0,0.0
9,2022,4,0.0,0.0,0.0,20000.0,0.0,0.0
9,2022,34,32300000.0,0.0,0.0,30565429.52,10.0,10.0
9,2022,37,30000.0,0.0,0.0,0.0,0.0,0.0
9,2022,40,65000.0,1900000.0,0.0,1950000.0,0.0,0.0
9,2022,41,4292800.0,800000.0,0.0,4648219.65,0.0,0.0
9,2022,42,750000.0,0.0,0.0,624595.98,0.0,0.0
9,2022,43,1650000.0,850000.0,0.0,2360722.54,0.0,0.0
9,2022,45,270000.0,0.0,0.0,205481.36,0.0,0.0
9,2022,47,950000.0,2000000.0,0.0,2825742.39,0.0,0.0
9,2022,48,2710000.0,0.0,0.0,2109092.75,0.0,0.0
9,2022,51,400000.0,0.0,0.0,412370.1,0.0,0.0
9,2022,52,850000.0,0.0,0.0,0.0,0.0,0.0
9,2022,54,1500000.0,0.0,0.0,1000000.0,0.0,0.0
9,2022,73,300000.0,0.0,0.0,0.0,0.0,0.0
9,2023,4,0.0,0.0,0.0,64000.0,0.0,0.0
9,2023,34,69980000.0,0.0,0.0,63043102.8,10.0,10.0
9,2023,35,0.0,0.0,0.0,0.0,0.0,0.0
9,2023,37,100000.0,0.0,0.0,32443.120000000003,0.0,0.0
9,2023,38,0.0,0.0,0.0,0.0,0.0,0.0
9,2023,40,3663000.0,0.0,0.0,3650000.0,0.0,0.0
9,2023,41,8500000.0,6000000.0,0.0,13496508.97,0.0,0.0
9,2023,42,1350000.0,0.0,0.0,1074897.02,0.0,0.0
9,2023,43,4000000.0,700000.0,0.0,5063593.02,0.0,0.0
9,2023,45,600000.0,350000.0,0.0,831999.24,0.0,0.0
9,2023,47,6000000.0,16000000.0,0.0,17857396.22,0.0,0.0
9,2023,48,3800000.0,1800000.0,0.0,5553455.19,0.0,0.0
9,2023,51,750000.0,850000.0,0.0,1722370.27,0.0,0.0
9,2023,52,1500000.0,0.0,0.0,694590.0,0.0,0.0
9,2023,54,1500000.0,1000000.0,0.0,1400000.0,0.0,0.0
9,2023,73,350000.0,0.0,0.0,180000.0,0.0,0.0
9,2024,4,0.0,0.0,0.0,240000.0,0.0,0.0
9,2024,34,197067926.0,0.0,0.0,183279976.42,10.0,10.0
9,2024,37,350000.0,0.0,0.0,0.0,0.0,0.0
9,2024,38,0.0,0.0,0.0,0.0,0.0,0.0
9,2024,40,9660000.0,2000000.0,0.0,11510000.0,0.0,0.0
9,2024,41,24629200.0,25000000.0,0.0,48622012.71,0.0,0.0
9,2024,42,2200000.0,35000.0,0.0,2230750.03,0.0,0.0
9,2024,43,10500000.0,8000000.0,0.0,16193148.07,0.0,0.0
9,2024,45,2000000.0,0.0,0.0,2016765.53,0.0,0.0
9,2024,47,35000000.0,0.0,15000000.0,8443487.52,0.0,0.0
9,2024,48,15000000.0,15000000.0,0.0,23474356.0,0.0,0.0
9,2024,51,3500000.0,2500000.0,0.0,5226106.73,0.0,0.0
9,2024,52,0.0,3000000.0,0.0,2852370.0,0.0,0.0
9,2024,54,10000000.0,42000000.0,0.0,44000000.0,0.0,0.0
9,2024,73,1000000.0,0.0,0.0,96000.0,0.0,0.0
9,2025,0,1005.0,0.0,0.0,214250276.0,0.0,0.0
9,2025,34,502700000.0,0.0,1000.0,0.0,9.0,9.0
9,2025,37,500000.0,0.0,0.0,0.0,0.0,0.0
9,2025,40,29700000.0,0.0,0.0,0.0,0.0,0.0
9,2025,41,68060000.0,1000.0,0.0,0.0,0.0,0.0
9,2025,42,7500000.0,0.0,0.0,0.0,0.0,0.0
9,2025,43,42000000.0,0.0,0.0,0.0,0.0,0.0
9,2025,45,5000000.0,0.0,0.0,0.0,0.0,0.0
9,2025,47,16000000.0,0.0,0.0,0.0,0.0,0.0
9,2025,48,28000000.0,0.0,0.0,0.0,0.0,0.0
9,2025,51,7000000.0,0.0,0.0,0.0,0.0,0.0
9,2025,54,10000000.0,0.0,0.0,1000.0,0.0,0.0
9,2025,73,1500000.0,0.0,0.0,0.0,0.0,0.0
10,2015,34,2500000.0,0.0,0.0,0.0,7.0,7.0
10,2015,37,42900.0,0.0,0.0,0.0,0.0,0.0
10,2015,40,235000.0,0.0,0.0,0.0,0.0,0.0
10,2015,41,375000.0,0.0,0.0,0.0,0.0,0.0
10,2015,42,60000.0,0.0,0.0,0.0,0.0,0.0
10,2015,43,75000.0,0.0,0.0,0.0,0.0,0.0
10,2015,44,60000.0,0.0,0.0,0.0,0.0,0.0
10,2015,45,30000.0,0.0,0.0,0.0,0.0,0.0
10,2015,46,290600.0,0.0,0.0,0.0,0.0,0.0
10,2015,47,1185000.0,0.0,0.0,0.0,0.0,0.0
10,2015,48,250000.0,0.0,0.0,0.0,0.0,0.0
10,2015,50,1150000.0,1000000.0,0.0,0.0,0.0,0.0
10,2015,51,76000.0,0.0,0.0,0.0,0.0,0.0
10,2015,52,164000.0,0.0,0.0,0.0,0.0,0.0
10,2015,54,200000.0,0.0,0.0,0.0,0.0,0.0
10,2015,73,150000.0,0.0,0.0,0.0,0.0,0.0
10,2016,4,0.0,0.0,0.0,6000.0,0.0,0.0
10,2016,34,3250000.0,0.0,0.0,1252734.28,7.0,7.0
10,2016,37,55700.0,0.0,0.0,24508.32,0.0,0.0
10,2016,40,305500.0,0.0,0.0,50658.0,0.0,0.0
10,2016,41,487500.0,0.0,0.0,71940.0,0.0,0.0
10,2016,42,60000.0,0.0,0.0,0.0,0.0,0.0
10,2016,43,90000.0,0.0,0.0,62845.18,0.0,0.0
10,2016,44,78000.0,0.0,0.0,0.0,0.0,0.0
10,2016,45,40000.0,0.0,0.0,0.0,0.0,0.0
10,2016,46,600000.0,0.0,0.0,0.0,0.0,0.0
10,2016,47,800000.0,0.0,0.0,36716.0,0.0,0.0
10,2016,48,340000.0,0.0,0.0,219312.82,0.0,0.0
10,2016,50,2200000.0,0.0,0.0,261461.66,0.0,0.0
10,2016,51,98800.0,0.0,0.0,19633.760000000002,0.0,0.0
10,2016,52,250000.0,0.0,0.0,88681.0,0.0,0.0
10,2016,53,10000.0,0.0,0.0,0.0,0.0,0.0
10,2016,54,200000.0,0.0,0.0,50000.0,0.0,0.0
10,2016,73,200000.0,0.0,0.0,0.0,0.0,0.0
10,2017,4,0.0,0.0,0.0,8000.0,0.0,0.0
10,2017,34,4452500.0,0.0,0.0,4069233.61,7.0,7.0
10,2017,36,0.0,0.0,0.0,0.0,0.0,0.0
10,2017,37,72410.0,0.0,0.0,650.0,0.0,0.0
10,2017,39,0.0,0.0,0.0,0.0,0.0,0.0
10,2017,40,418535.0,0.0,0.0,365767.0,0.0,0.0
10,2017,41,667875.0,0.0,0.0,621318.47,0.0,0.0
10,2017,42,75000.0,0.0,0.0,74486.17,0.0,0.0
10,2017,43,108000.0,0.0,0.0,214933.28,0.0,0.0
10,2017,44,93600.0,0.0,0.0,10180.0,0.0,0.0
10,2017,45,48000.0,0.0,0.0,13038.21,0.0,0.0
10,2017,46,600000.0,0.0,0.0,2063.1,0.0,0.0
10,2017,47,1960000.0,0.0,0.0,45857.52,0.0,0.0
10,2017,48,442000.0,0.0,0.0,443289.83999999997,0.0,0.0
10,2017,50,2640000.0,0.0,0.0,141644.5,0.0,0.0
10,2017,51,103740.0,0.0,0.0,48085.26,0.0,0.0
10,2017,52,325000.0,0.0,0.0,270761.0,0.0,0.0
10,2017,53,12000.0,0.0,0.0,0.0,0.0,0.0
10,2017,54,240000.0,0.0,0.0,19887.86,0.0,0.0
10,2017,73,240000.0,0.0,0.0,0.0,0.0,0.0
10,2018,4,0.0,0.0,0.0,8000.0,0.0,0.0
10,2018,34,5565000.0,350000.0,0.0,2976625.03,7.0,7.0
10,2018,37,72410.0,0.0,0.0,0.0,0.0,0.0
10,2018,40,615000.0,0.0,200000.0,84757.0,0.0,0.0
10,2018,41,375000.0,600000.0,0.0,384667.06,0.0,0.0
10,2018,42,150000.0,0.0,50000.0,58470.53,0.0,0.0
10,2018,43,135000.0,250000.0,0.0,61744.2,0.0,0.0
10,2018,44,100000.0,0.0,70000.0,0.0,0.0,0.0
10,2018,45,48000.0,0.0,0.0,3570.58,0.0,0.0
